WeaponData
{
	// General
	"printname"   									"#WPN_G2"
	"shortprintname"								"#WPN_G2_SHORT"
	"description" 									"#WPN_G2_DESC"
	"longdesc"										"#WPN_G2_LONGDESC"
	"weaponClass" 									"human"
	"body_type"										"designated_marksman"
	"fire_mode"   									"semi-auto"
	"server_vscript"  								"weapons/mp_weapon_g2"
	"client_vscript"  								"weapons/mp_weapon_g2"
	"pickup_hold_prompt"  							"Hold [USE] [WEAPONNAME]"
	"pickup_press_prompt" 							"[USE] [WEAPONNAME]"
	"minimap_reveal_distance"						"32000"

	// Menu Stats
	"stat_damage" 									"75"
	"stat_range"  									"48"
	"stat_accuracy"   								"70"
	"stat_rof"										"50"

	// Models
	"viewmodel"   									"models/weapons/g2/ptpov_g2a4.mdl"
	"playermodel" 									"models/weapons/g2/w_g2a4.mdl"
	"anim_prefix" 									"smg2"

	// Effects
	"tracer_effect"   								"weapon_tracers"
	"vortex_absorb_effect"							"wpn_vortex_projectile_rifle_FP"
	"vortex_absorb_effect_third_person"				"wpn_vortex_projectile_rifle"
	"vortex_absorb_sound"							"Vortex_Shield_AbsorbBulletSmall"
	"adjust_to_gun_barrel"							"1"

	"sound_dryfire"									"assault_rifle_dryfire"
	"sound_trigger_pull"							"assault_rifle_dryfire"
	"sound_trigger_release"							"assault_rifle_dryfire"

	"fx_shell_eject_view"							"wpn_shelleject_rifle_assault_FP"
	"fx_shell_eject_world"							"wpn_shelleject_rifle_assault"
	"fx_shell_eject_attach"							"shell"

	"fx_muzzle_flash_view"							"wpn_muzzleflash_smg_FP"
	"fx_muzzle_flash_world"							"wpn_muzzleflash_smg"
	"fx_muzzle_flash_attach"						"muzzle_flash"

	//Sounds
	"fire_sound_1_player_1p"						"Weapon_G2A4_Fire"
	"fire_sound_1_player_3p"						"Weapon_G2A4_Fire"
	"fire_sound_1_npc"								"Weapon_G2A4_Fire"
	"fire_sound_2_player_1p"						"Weapon_bulletCasings.Bounce"
	"fire_sound_2_player_3p"						"Weapon_bulletCasings.Bounce"

	// Network
	"net_optimize"		                            "1"

	// Damage - When Used by Players
	"damage_type" 									"bullet"
	"damage_near_distance"							"1300"
	"damage_far_distance" 							"2200"
	"damage_near_value"   							"80"
	"damage_far_value"								"67"
	"damage_near_value_titanarmor"					"25"
	"damage_far_value_titanarmor" 					"25"
	"explosion_damage"								"0"
	"damage_rodeo" 									"220"

	"damage_headshot_scale"							"2.4"
	"damage_torso_scale"							"1.0"
	"damage_arm_scale"								"1.0"
	"damage_leg_scale"								"1.0"

	// Damage - When Used by NPCs
	"rest_time_between_bursts_min"					"0.4"
	"rest_time_between_bursts_max"					"0.6"
	"npc_damage_near_distance"						"1300"
	"npc_damage_far_distance" 						"2200"
	"npc_damage_near_value"   						"40"
	"npc_damage_far_value"							"30"
	"npc_damage_near_value_titanarmor"				"25"
	"npc_damage_far_value_titanarmor" 				"25"

	"explosionradius" 								"0"
	"critical_hit_damage_scale"						"2.0"
	"critical_hit"									"1"

	// Ammo
	"ammo_stockpile_max"							"140"
