WeaponData
{
	// General
	"printname"   									"#WPN_ROCKET_LAUNCHER"
	"shortprintname"								"#WPN_ROCKET_LAUNCHER_SHORT"
	"description" 									"#WPN_ROCKET_LAUNCHER_DESC"
	"longdesc"										"#WPN_ROCKET_LAUNCHER_LONGDESC"
	"weaponClass" 									"human"
	"server_vscript"  								"weapons/mp_weapon_rocket_launcher"
	"client_vscript"  								"weapons/mp_weapon_rocket_launcher"
	"projectile_vscript"							"weapons/mp_projectile_pilot_launcher"
	"projectile_vortex_vscript"						"weapons/mp_projectile_drift"
	"pickup_hold_prompt"  							"Hold [USE] [WEAPONNAME]"
	"pickup_press_prompt" 							"[USE] [WEAPONNAME]"
	"ordnance"										"1"
	"sidearm"										"0"
	"minimap_reveal_distance"						"32000"

	"projectile_drift_windiness"					"2.25"
	"projectile_drift_intensity"					"0.8"
	"projectile_straight_time_min"					"0.4"
	"projectile_straight_time_max"					"1.2"
	"projectile_straight_radius_min"				"40"
	"projectile_straight_radius_max"				"65"

	// Menu Stats
	"stat_damage" 									"50"
	"stat_range"  									"90"
	"stat_accuracy"   								"90"
	"stat_rof"										"35"

	// Models
	"viewmodel"   									"models/weapons/shoulder_rocket_SRAM/ptpov_law.mdl"
	"playermodel" 									"models/weapons/shoulder_rocket_SRAM/w_shoulder_rocket_SRAM_v2.mdl"
	"projectilemodel" 								"models/weapons/bullets/projectile_rocket_launcher_sram.mdl"
	"anim_prefix" 									"ar2"

	// Effects
	"tracer_effect"   								"weapon_tracers_xo16"
	"impact_effect_table" 							"exp_rocket_archer"
	"projectile_trail_effect_0" 						"Rocket_Smoke_Large"
	"projectile_trail_attachment" 					"exhaust"
	"vortex_absorb_effect"							"wpn_vortex_projectile_rocket_FP"
	"vortex_absorb_effect_third_person"				"wpn_vortex_projectile_rocket"
	"vortex_absorb_sound"							"Vortex_Shield_AbsorbRocket"
	"vortex_drain"									".2"
	"adjust_to_gun_barrel"							"1"

	"sound_dryfire"									"spring_dryfire"

	"critical_hit"									"0"

	"fx_muzzle_flash_view"							"P_wpn_muzzleflash_law_fp"
	"fx_muzzle_flash_world"							"P_wpn_muzzleflash_law"
	"fx_muzzle_flash_attach"						"muzzle_flash"

	// Damage - When Used by Players
	"damage_type" 									"burn"
	"damage_near_distance"							"1200"
	"damage_far_distance" 							"15000"
	"damage_near_value"   							"325"
	"damage_far_value"								"325"
	"damage_near_value_titanarmor"					"2500"
	"damage_far_value_titanarmor" 					"2500"
	"explosion_damage"								"325"
	"explosion_damage_heavy_armor"					"2500"

	// Damage - When Used by NPCs
	"npc_damage_near_distance"						"1200"
	"npc_damage_far_distance" 						"3000"
	"npc_damage_near_value"   						"800"
	"npc_damage_far_value"							"800"
	"npc_explosion_damage"							"150"
	"npc_explosion_damage_heavy_armor"				"800"

